,titles,subtitles,links
0,WELCOME TO MANCHESTER,Eriksen seen for first time since Utd move as he laps up iconic rain,https://www.thesun.co.uk/sport/football/19302992/christian-eriksen-man-utd-transfer-brentford-tottenham/
1,BLUE BLOW,Chelsea suffer hammer blow as Kounde 'agrees to join Barcelona in £51m transfer',https://www.thesun.co.uk/sport/football/19303557/chelsea-transfer-blow-jules-kounde-barcelona-transfer/
2,ELECTRIC-HAAL,Man City star Haaland sends ominous warning to Prem after opening his account,https://www.thesun.co.uk/sport/football/19304361/man-city-erling-haaland-premier-league-goal/
3,MUM'S THE WORD,Juventus star Rabiot's mum pushes for PSG return amid links with Liverpool,https://www.thesun.co.uk/sport/football/19304131/juventus-adrien-rabiot-mother-psg-return-liverpool/
4,GOT THE RON IDEA,Ronaldo 'shocked after Man Utd offer LOAN transfer and contract EXTENSION',https://www.thesun.co.uk/sport/19299399/cristiano-ronaldo-transfer-man-utd-loan-contract-extension/
5,DEL'S THE BOY,Alli scores first TWO Everton goals since January amid claims he faces axe,https://www.thesun.co.uk/sport/football/19301959/dele-alli-everton-two-goals-axe-free-transfer/
6,BRER NECESSITIES,West Ham want to add Blackburn star Brereton Diaz to Scamacca up front,https://www.thesun.co.uk/sport/football/19304007/west-ham-blackburn-ben-brereton-diaz-gianluca-scamacca/
7,FORWARD PLANNING,"Rashford reveals Ten Hag advice that's rejuvenated him, Martial & Sancho",https://www.thesun.co.uk/sport/19300240/marcus-rashford-erik-ten-hag-advice-man-utd/
8,FAN SHAME,Police probe claims Bradford players were racially abused by fan at Chesterfield,https://www.thesun.co.uk/sport/19303081/police-bradford-players-racially-abused-fan-chesterfield/
9,CONT-ING HEADS,Dier hails Conte's Spurs revolution and says squad 'feels built already',https://www.thesun.co.uk/sport/football/19303347/eric-dier-tottenham-revolution-antonio-conte/
10,LONE SURVIVOR,De Bruyne admits he feels 'old' as only survivor of squad inherited by Pep,https://www.thesun.co.uk/sport/football/19303775/kevin-de-bruyne-man-city-only-survivor-pep-guardiola/
11,RAP IT UP,Raphinha scores stunner for Barcelona to show Chelsea what they're missing,https://www.thesun.co.uk/sport/19299220/raphinha-goal-barcelona-real-madrid-el-clasico/
12,VEGAS FIGHT NIGHT,Chelsea icons Hazard & Rudiger in El Clasico brawl as friendly boils over,https://www.thesun.co.uk/sport/19299560/real-madrid-barcelona-fight-eden-hazard-antonio-rudiger/
13,IBROX COP HELL,Four men arrested at Rangers vs Tottenham after police hit with FURNITURE,https://www.thesun.co.uk/sport/football/19302465/rangers-tottenham-police-ibrox-arrested-furniture/
14,GETTING SHIRTY,Ex-Man Utd ace sends warning to Martial about 'No9 shirt' after Oz reunion,https://www.thesun.co.uk/sport/football/19302627/ex-man-utd-ashley-young-anthony-martial-message/
15,SAVING GRACE,Fans all say same thing as Bale scores first LAFC goal after Real Madrid exit,https://www.thesun.co.uk/sport/19299100/gareth-bale-goal-los-angeles-mls/
16,MAN CITY 1 BAYERN 0,Haaland scores 12 minutes into Man City debut after Grealish assist,https://www.thesun.co.uk/sport/19299038/erling-haaland-goal-man-city-bayern-munich-report/
17,THE GREAL THING,Haaland 'likes the vibe' with Grealish but admits both must 'get better',https://www.thesun.co.uk/sport/19301373/erling-haaland-jack-grealish-man-city/
18,ARSENAL 4 CHELSEA 0,"Jesus, Odegaard, Saka and Lokonga see Gunners stuff woeful Blues",https://www.thesun.co.uk/sport/19298709/arsenal-chelsea-gabriel-jesus-martin-odegaard-bukayo-saka/
19,NOBLE JOB,Rice issued with warning by West Ham boss Moyes after replacing Noble as captain,https://www.thesun.co.uk/sport/19301088/rice-west-ham-moyes-noble/
20,SUPER DEAL,Get £30 BONUS on Euro 2022 when you stake £10 today -18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/17804593/sky-bet-free-bet-euro-2022-new-customers/
