,titles,subtitles,links
0,PREMIERE LEAGUE,Arteta and Arsenal stars turn out on red carpet for All or Nothing premiere,https://www.thesun.co.uk/sport/football/19400726/arsenal-all-or-nothing-premiere-red-carpet-photos/
1,'CRIMINAL',Fuming Man Utd keeper Dean Henderson blasts club for breaking No 1 promise,https://www.thesun.co.uk/sport/football/19401674/man-utd-dean-henderson-nottingham-forest-promise-criticism/
2,FUL MARKS,Fulham complete signing of Bernd Leno on three-year deal in £8million transfer,https://www.thesun.co.uk/sport/football/19401643/fulham-sign-bernd-leno-arsenal-transfer/
3,'HE WAS TOO USED TO GERMANY',Aguero says Haaland was 'welcomed to the Prem' by Van Dijk,https://www.thesun.co.uk/sport/19401981/haaland-van-dijk-aguero-man-city-liverpool-welcome/
4,GIGGS TRIAL DELAY,Ryan Giggs' trial postponed AGAIN after substance found in court building,https://www.thesun.co.uk/sport/19401894/ryan-giggs-assault-trial-postponed/
5,UNION ST-GILLOISE 2 RANGERS 0,Gers rue Goldson VAR decision in shock Euro first leg defeat,https://www.thesun.co.uk/sport/19401738/union-st-gilloise-rangers-van-bronckhorst-shock-defeat/
6,SLO AND STEADY,"Chelsea complete £12m signing of American goalkeeper Gabriel Slonina, 18",https://www.thesun.co.uk/sport/football/19401409/chelsea-gabriel-slonina-transfer-chicago-fire-confirmed/
7,BLUE BEAUTY,Chelsea beat Barcelona to complete £20m transfer of Aston Villa ace Chukwuemeka,https://www.thesun.co.uk/sport/football/19399743/chelsea-carney-chukwuemeka-aston-villa-transfer-done-deal/
8,TOP TIER,Kieran Tierney trolls Arsenal pal Martin Odegaard as he delivers brutal quip,https://www.thesun.co.uk/sport/19401950/kieran-tierney-trolls-arsenal-martin-odegaard-quip/
9,HOME COOKING,Kieran Tierney LIVES with his chef to make him feel right at home in London,https://www.thesun.co.uk/sport/19401944/celtic-kieran-tierney-chef-home-london/
10,'CELEBRATE YOURSELVES!',Becky Hill slams sexist trolls for slamming her Euro final outfit,https://www.thesun.co.uk/sport/football/19396435/becky-hill-sexist-trolls-outfit-euro-2022-final/
11,BIG DEAL,Crystal Palace vs Arsenal: Get 50/1 for a shot on target - Sky Bet 18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/19395512/sky-bet-offer-arsenal-crystal-palace-shot-target-football/
12,LION SHARE,England's Lionesses' shocking low wages compared to male players,https://www.thesun.co.uk/sport/football/19397003/england-women-lionesses-euros-wages-bonus/
13,THE AMERICAN DREAM,England hope for Wembley sell-out when Lionesses take on USA in October,https://www.thesun.co.uk/sport/football/19398320/england-women-wembley-lionesses-usa-euro-2022/
