,titles,subtitles,links
0,TROY DEENEY,Nunez and Haaland make top two so good it’s a joke... the rest won't get close,https://www.thesun.co.uk/sport/football/19433062/troy-deeney-haaland-nunez-man-city-liverpool/
1,OPEN GOAL,It’s not too late to join the fun – ENTER your Dream Team before today's games!,https://www.thesun.co.uk/dream-team/fantasy-football/19430006/dream-team-fantasy-football-enter-deadline-sign-up-prizes/
2,REF TEST,Mark Halsey slams 'poorest set of officials in years' after loss of veteran refs,https://www.thesun.co.uk/sport/football/19434833/mark-halsey-premier-league-new-season-referee/
3,MIK'S FEELINGS,Arteta targets MORE transfers despite winning Prem start after £120m spree,https://www.thesun.co.uk/sport/19433997/mikel-arteta-arsenal-transfer-promise-palace/
4,ON YOUR MARC,Chelsea stars ‘say goodbye to Alonso’ with defender to seal Barcelona transfer,https://www.thesun.co.uk/sport/football/19435007/chelsea-marcos-alonso-barcelona-transfer-cucurella/
5,BLUE DAWN,How Chelsea could line up against Everton with Sterling handed debut,https://www.thesun.co.uk/sport/football/19425527/chelsea-line-up-everton-sterling-koulibaly/
6,ANT'S DREAM TEAM,'Dreamer' Conte says Tottenham fans right to be excited for season ahead,https://www.thesun.co.uk/sport/19430663/antonio-conte-says-dreamer-tottenham-fans/
7,ALL ABOUT DAD,Arsenal fans go wild for Aaron Ramsdale's dad during All or Nothing doc,https://www.thesun.co.uk/sport/football/19426874/aaron-ramsdale-dad-arsenal-all-or-nothing/
8,HAMMER BLOW,West Ham boss David Moyes admits he was stunned Jesse Lingard snubbed Hammers,https://www.thesun.co.uk/sport/football/19434830/west-ham-david-moyes-jesse-lingard-transfer-snub/
9,KICK IN THE LEG,Leicester suffer huge blow as Ricardo Pereira ruled out for SIX MONTHS,https://www.thesun.co.uk/sport/19429842/leicester-pereira-injury-setback-ruptured-achilles/
10,NINE LIVES,"Horror story of Chelsea's 'cursed' No9 shirt including Lukaku, Morata and Torres",https://www.thesun.co.uk/sport/football/15883703/romelu-lukaku-chelsea-number-nine-curse-morata-higuain-torres/
11,PEP TALK,"Liverpool will be even BETTER with Nunez replacing Mane, warns Pepe Reina",https://www.thesun.co.uk/sport/football/19433088/liverpool-darwin-nunez-sadio-mane-pepe-reina-transfer/
12,HOT AND BOTHERED,Klopp compares fixture woe to climate crisis as stars face 76-game season,https://www.thesun.co.uk/sport/19434264/jurgen-klopp-liverpool-fixtures-climate-change/
13,EAGLE FLOWN,Man Utd legend Wayne Rooney signs Benteke for DC United from Crystal Palace,https://www.thesun.co.uk/sport/19432219/manchester-united-wayne-rooney-christian-benteke-crystal-palace/
14,'WATER IS WET',Fans all say the same thing after Xhaka given first yellow card of new term,https://www.thesun.co.uk/sport/football/19433288/asenal-granit-xhaka-yellow-card-diving/
15,LEW WHO?,Watch Mane score on Bundesliga debut as Bayern forget Lewandowski exit in mauling,https://www.thesun.co.uk/sport/19433856/sadio-mane-bayern-munich-robert-lewandowski-eintracht-frankfurt/
