,titles,subtitles,links
0,RED FACES,"Last season was an embarrassing mess... it must NEVER happen again, says De Gea",https://www.thesun.co.uk/sport/football/19291384/man-utd-david-de-gea-embarrassing-mess/
1,BORN WINNER,Arsenal new-boy Zinchenko is the second-most successful player in Prem EVER,https://www.thesun.co.uk/sport/football/19290019/arsenal-zinchenko-chelsea-robben-man-city/
2,HE AZ TO STAY,Tuchel says Azpilicueta ‘not happy’ he's denied Barca move amid Kounde doubts,https://www.thesun.co.uk/sport/19291358/chelsea-tuchel-azpilicueta-denied-barcelona-transfer-kounde/
3,GIAN THE MAN,West Ham agree £30.5m transfer for Scamacca as Moyes finally gets his striker,https://www.thesun.co.uk/sport/19290360/west-ham-agree-transfer-gianluca-scamacca/
4,LOOKING GOOD,Rhian Sugden shows off football knowledge & wants to take YOU on in Dream Team,https://www.thesun.co.uk/dream-team/fantasy-football/19273873/rhian-sugden-football-knowledge-dream-team/
5,MIKE DROP,Inside Mike Dean's new man cave complete with retirement tribute from Chelsea,https://www.thesun.co.uk/sport/19290878/mike-dean-chelsea-man-utd/
6,JESUS RAVES,Jesus impressed by 'animal' Martinelli as Arsenal target Premier League title,https://www.thesun.co.uk/sport/19288607/jesus-praises-martinelli-arsenal-target-title/
7,RON RETURN,"Wantaway Man Utd star Ronaldo WILL return to Sporting Lisbon, claims coach",https://www.thesun.co.uk/sport/football/19288215/mna-utd-cristiano-ronaldo-sporting-transfer-return/
8,BEL OF A DEAL,"Newcastle, West Ham & Everton offered Euro 2020 winner Andrea Belotti on free",https://www.thesun.co.uk/sport/19283950/newcastle-west-ham-everton-andrea-belotti-free-transfer/
9,JUST NOTT ON,Fuming West Ham fans plan to throw fake money at Lingard in protest,https://www.thesun.co.uk/sport/football/19287329/fuming-west-ham-fans-fake-money-jesse-lingard/
10,SNACKS OF THE DAY,Gary Lineker celebrates latest spectacular goal — cooking for 300 people,https://www.thesun.co.uk/sport/19290469/gary-lineker-cooking-festival/
