,titles,subtitles,links
0,DOU GOODERS,Koulibaly phone lit up by Chelsea icons as he admits brother is huge Blues fan,https://www.thesun.co.uk/sport/football/19411868/kalidou-koulibaly-chelsea-phone-napoli-terry-drogba-zola/
1,PIERS ON RON,Ron will make Man Utd 'Great Escape'... and I don't blame him for wanting out,https://www.thesun.co.uk/sport/19408574/man-utd-cristiano-ronaldo-quit-piers-morgan/
2,PLAIN RON,Ronaldo slammed for forcing Man Utd exit as Carragher says 'no one wants him',https://www.thesun.co.uk/sport/19411969/cristiano-ronaldo-transfer-man-utd-carragher/
3,YOUR THE ONE,Arsenal legend Nigel Winterburn says Youri Tielemans would be perfect transfer,https://www.thesun.co.uk/sport/football/19410561/arsenal-youri-tielemans-transfer-nigel-winterburn/
4,BIG DEAL,Crystal Palace vs Arsenal: Get 50/1 for a shot on target - Sky Bet 18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/19395512/sky-bet-offer-arsenal-crystal-palace-shot-target-football/
5,'I LOVE THE LIFESTYLE',Potter has to wear a DISGUISE but loves walking around Brighton,https://www.thesun.co.uk/sport/football/19406997/brighton-graham-potter-batman-seagulls-disguise/
6,TON OF PRAISE,How Joelinton overcame Toon flop tag to became a masterful midfield enforcer,https://www.thesun.co.uk/sport/football/19411675/joelinton-newcastle-midfield-revival/
7,SIX APPEAL,Prem giants could ask mega-rich Toon to join 'Big Seven' to give them MORE power,https://www.thesun.co.uk/sport/19412287/newcastle-top-seven-premier-league/
8,OFF THE MARC,Chelsea reach '£52.5m deal' with Brighton over Marc Cucurella on six-year deal,https://www.thesun.co.uk/sport/football/19411241/chelsea-agree-deal-marc-cucurella-brighton/
9,AUB-OUT THAT,Chelsea ‘considering transfer for ex-Arsenal star Pierre-Emerick Aubameyang’,https://www.thesun.co.uk/sport/football/19412590/chelsea-pierre-emerick-aubameyang-transfer-arsenal-barcelona/
10,THAT SOUNDS NICE,Schmeichel seals Nice move and agrees 3-year deal to end Leicester spell,https://www.thesun.co.uk/sport/football/19410662/leicester-kasper-schmeichel-transfer-nice/
11,RED CARD,Premier League stars 'will receive sexual consent training' in wake of allegations,https://www.thesun.co.uk/sport/19412767/premier-league-stars-sexual-consent-training/
12,COLD TRAFFORD,Man Utd 'can’t attract top stars any more' as De Jong continues to snub them,https://www.thesun.co.uk/sport/19411673/man-utd-de-jong-transfer-yorke/
13,CHAR CHAR SLIDE,"Arsenal send Charlie Patino, 18, to Blackpool on season-long loan transfer",https://www.thesun.co.uk/sport/19412196/arsenal-charlie-patino-blackpool-loan-transfer/
14,CHIPPING IN,Champions League beats World Cup to use of 'semi-automated offside' technology,https://www.thesun.co.uk/sport/football/19410572/semi-automated-offside-technology-champions-league/
15,TOP GUNS,Arsenal's incredible strength in depth revealed after £380m spending spree,https://www.thesun.co.uk/sport/football/19407181/arsenal-depth-back-ups-revealed/
16,TAKING THE MIK,Arsenal fans say same thing after it's revealed PHOTOGRAPHER took team talk,https://www.thesun.co.uk/sport/19402530/arsenal-amazon-prime-trailer-photographer-team-talk-tottenham/
17,'INSANE',Piers & Arsenal fans agree as Arteta plays You'll Never Walk Alone at training,https://www.thesun.co.uk/sport/19404751/mikel-arteta-youll-never-walk-alone-arsenal-documentary/
18,GABSMACKED,Gabby Agbonlahor slams Arteta over training ground antics before Liverpool clash,https://www.thesun.co.uk/sport/football/19409481/arsenal-mikel-arteta-slammed-gabriel-agbonlahor/
19,MADD NOT TO,Maddison told Newcastle move would be 'step forward' in career from Leicester,https://www.thesun.co.uk/sport/19409069/james-maddison-newcastle-transfer-step-forward-leicester/
20,BEGINNER'S LUCK,Which of the Premier League's new arrivals are worthy of your Dream Team?,https://www.thesun.co.uk/dream-team/fantasy-football/19409546/new-signings-transfers-fantasy-football-premier-league/
21,DAFT FOR DRAFT,Why you should play Dream Team Draft - the most rewarding format of the game,https://www.thesun.co.uk/dream-team/fantasy-football/19406843/fantasy-football-draft-premier-league-rules-scoring/
22,SUMMER STARTERS,5 Dream Team assets who could claim BIG points this August,https://www.thesun.co.uk/dream-team/fantasy-football/19405027/players-august-fantasy-football-premier-league-points/
