,titles,subtitles,links
0,MASON BREAKS COVER,Mason Greenwood makes rare appearance following rape and GBH arrest,https://www.thesun.co.uk/sport/19438960/mason-greenwood-runaway-dog-manchester-united/
1,PHIL YER BOOTS,Foden to pocket massive £6MILLION in bonuses on top of new Man City contract,https://www.thesun.co.uk/sport/football/19440212/phil-foden-contact-man-city-ballon-dor/
2,DO IT THE HAG WAY,Erik ten Hag ready to get ugly with Man Utd as new boss vows to win games,https://www.thesun.co.uk/sport/19439522/erik-ten-hag-manchester-united-premier-league/
3,PAIN IN THE GRASS,Klopp moans Fulham pitch too DRY as Reds boss takes moaning to new level,https://www.thesun.co.uk/sport/football/19439902/liverpool-fulham-jurgen-klopp-dry-pitch/
4,BIG BONUS,Get £40 in football FREE BETS plus an extra £10 casino bonus with BetVictor,https://www.thesun.co.uk/sport/betting-tips/19418064/betvictor-football-new-customer-free-bets-bonus-casino-spins/
5,HARRY REDKNAPP,Ronaldo won’t be a problem if he stays… he'll still be United's BEST trainer,https://www.thesun.co.uk/sport/19438946/harry-redknapp-column-cristiano-ronaldo-man-utd-transfer/
6,VERDICT,Sterling and Koulibaly debuts prove Boehly right to back Tuchel on Chelsea deals,https://www.thesun.co.uk/sport/football/19439358/chelsea-verdict-transfers-raheem-sterling-kalidou-koulibaly/
7,RATINGS,Koulibaly brings John Terry vibes on debut but Havertz needs major improvement,https://www.thesun.co.uk/sport/football/19439196/chelsea-ratings-kalidou-koulibaly-kai-havertz-raheem-sterling/
8,DOING HIS BART,Generous Barton dipped into HIS OWN pocket to give cancer-hit Anderton boost,https://www.thesun.co.uk/sport/19438877/joey-barton-bristol-rovers-nick-anderton-cancer/
9,NET GAIN,Ten Hag takes active role in search for De Gea back-up after fiery Henderson exit,https://www.thesun.co.uk/sport/19438466/erik-ten-hag-man-utd-keeper-dean-henderson-transfer/
10,MESSI BUSINESS,Watch Messi net outrageous overhead CHIP as PSG demolish Clermont,https://www.thesun.co.uk/sport/19440044/watch-messi-overhead-kick-psg-clermont/
11,YES SER!,Lampard targets £15m Everton transfer swoop for Rennes powerhouse Serhou Guirassy,https://www.thesun.co.uk/sport/football/19438350/everton-serhou-guirassy-transfer-rennes-frank-lampard-exclusive/
12,OUT OF PITCH,Coventry vs Rotherham POSTPONED after Commonwealth Games rugby sevens matches,https://www.thesun.co.uk/sport/19438998/coventry-rotherham-postponed-pitch-commonwealth-games-rugby/
13,ZIG ZAG,West Ham looking to beat Jose Mourinho's Roma to sign giant ex-Dortmund ace Zagadou,https://www.thesun.co.uk/sport/football/19439598/west-ham-dan-axel-zagadou-transfer-roma-borussia-dortmund/
14,I COULDN'T MISS,Sessegnon jokes Conte would have 'killed' him if he had failed to score,https://www.thesun.co.uk/sport/19439270/ryan-sessegnon-jokes-antonio-conte-goal/
15,FULHAM 2 LIVERPOOL 2,Salah rescues Reds after Mitrovic double as points are shared,https://www.thesun.co.uk/sport/football/19436820/fulham-liverpool-report-mo-salah-aleksandar-mitrovic/
16,BOURNEMOUTH 2 VILLA 0,Cherries STUN Villans as Gerrard's men suffer opening day defeat,https://www.thesun.co.uk/sport/football/19410163/bournemouth-aston-villa-live-stream-watch-premier-league-online/
17,TOTTENHAM 4 SOUTHAMPTON 1,Rampant Spurs top the table after opening day rout of Saints,https://www.thesun.co.uk/sport/19437906/tottenham-southampton-match-report-premier-league/
18,NEWCASTLE 2 FOREST 0,Schar screamer and Wilson strike help get Magpies off to flying start,https://www.thesun.co.uk/sport/19437862/newcastle-nottingham-forest-match-report-fabian-schar-goal/
19,LEEDS 2 WOLVES 1,Managers Lage and Marsch clash after Aaronson fires home side to first win,https://www.thesun.co.uk/sport/19408407/leeds-vs-wolves-live-stream-tv-channel-premier-league-online/
20,RETURN GODSPEED,Everton's Godfrey suffers horror injury following collision with Havertz,https://www.thesun.co.uk/sport/19438635/everton-ben-godfrey-injury-chelsea/
21,HOPPING MAD,Fans say the same thing after Jorginho shows-off new penalty routine v Everton,https://www.thesun.co.uk/sport/19438950/jorginho-penalty-chelsea-everton/
22,GREAT SCOTT!,England hero Jill Scott works back in her coffee shop days after Euros triumph,https://www.thesun.co.uk/sport/19436087/england-jill-scott-works-coffee-shop-euros-medal/
23,FUL HOUSE,Salah equals Premier League goal record with Liverpool equaliser at Fulham,https://www.thesun.co.uk/sport/football/19437799/salah-premier-league-goal-liverpool-fulham-lampard-rooney-shearer/
24,CASH & NAB,Liverpool close to Naby Keita extension as it will be cheaper than replacement,https://www.thesun.co.uk/sport/football/19438464/liverpool-contract-naby-keita-transfer/
25,MISSING MEMORIES,Gary Lineker says memory is so bad he can't remember goals he scored,https://www.thesun.co.uk/sport/19438964/gary-lineker-cannot-remember-goals-memory/
26,CLARET AND KOU,Burnley considering fresh transfer bid for £10m-rated Metz ace Kouyate,https://www.thesun.co.uk/sport/19438771/burnley-transfer-boubakar-kouyate-metz/
27,NO EASY GAMES?,Which fixtures should Dream Team gaffers target in August?,https://www.thesun.co.uk/dream-team/fantasy-football/19419737/easy-fixtures-target-fantasy-football-premier-league-favourable/
28,VARD TO UNDERSTAND,Nearly ALL Dream Team gaffers are ignoring one of game's best strikers,https://www.thesun.co.uk/dream-team/fantasy-football/19426089/jamie-vardy-leicester-fantasy-football-premier-league-differentials/
29,CHEAP AS CHIPS,5 bargain midfielders capable of mixing it with Dream Team's big boys,https://www.thesun.co.uk/dream-team/fantasy-football/19416387/cheap-midfielders-sancho-fantasy-football-premier-league-bargain/
30,BRIGHT AND EARLY,How Man Utd could line up against Brighton with Cristiano Ronaldo dilemma,https://www.thesun.co.uk/sport/football/19424885/man-utd-brighton-line-up-ronaldo/
31,RON HIS WAY,Ronaldo ‘puts squeeze on Ten Hag’ in training to start him against Brighton,https://www.thesun.co.uk/sport/football/19437544/man-utd-cristiano-ronaldo-starting-team-brighton/
32,IN THE RON,Neville 'disappointed' in Ronaldo as legend slams 'unpalatable' transfer saga,https://www.thesun.co.uk/sport/19434186/man-utd-gary-neville-slams-cristiano-ronaldo/
33,NINE? NEIN!,Chelsea players convinced No 9 shirt is CURSED as Tuchel admits NOBODY wants it,https://www.thesun.co.uk/sport/football/19433550/chelsea-players-no-9-shirt-cursed-thomas-tuchel/
34,KELL OF A PLAYER,Watch England hero Chloe Kelly meet QPR squad and receive standing ovation,https://www.thesun.co.uk/sport/19437599/england-euro-chloe-kelly-qpr-signed-shirt-stefan-johansen/
35,BLUE GOT THIS,Tuchel hits out at Neville for claims Boehly is 'panicky' with transfers,https://www.thesun.co.uk/sport/19438334/thomas-tuchel-gary-neville-todd-boehly-chelsea-transfers/
36,ARN YOU SURE?,Man Utd 'consider shock transfer move for ex-West Ham man Arnautovic',https://www.thesun.co.uk/sport/football/19435630/man-utd-transfer-west-ham-marko-arnautovic/
37,WAN-T YOU BACK,Crystal Palace want Wan-Bissaka three years after £50m Man Utd transfer,https://www.thesun.co.uk/sport/19435400/man-utd-wan-bissaka-palace-loan-transfer/
38,MARC 2,Joe Wicks in stitches as fans spot uncanny resemblance to Chelsea signing Cucurella,https://www.thesun.co.uk/sport/football/19432865/cucurella-joe-wicks-chelsea-body-double-twitter/
39,MIKKE DROP,Brentford close in on Mikkel Damsgaard swoop with star to 'undergo medical',https://www.thesun.co.uk/sport/19438409/mikkel-damsgaard-brentford-medical-12-6m-transfer/
40,LET'S BE FRENK,Chelsea ‘offer £59m plus Marcos Alonso’ for Frenkie de Jong in swap transfer,https://www.thesun.co.uk/sport/19435506/chelsea-marcos-alonso-frenkie-de-jong-transfer-barcelona/
41,BARC-ING MAD,Barcelona BANNED from registering new signings for LaLiga until funds freed up,https://www.thesun.co.uk/sport/19436327/barcelona-banned-registering-new-signings-robert-lewandowski/
42,AVERAGE JOE'S,Chelsea boss Tuchel 'demands world class players' in damning squad verdict,https://www.thesun.co.uk/sport/19436318/tuchel-wants-world-class-aubameyang-transfer/
43,TUCHY SUBJECT,Tuchel the MOANIEST manager in Prem ahead of Arteta with Klopp only 12th,https://www.thesun.co.uk/sport/football/19431298/chelsea-thomas-tuchel-moans-manager-arsenal-arteta-klopp/
44,FRENK TALK,Harry Redknapp says he ‘knows for a fact’ De Jong does NOT want Man Utd transfer,https://www.thesun.co.uk/sport/19435421/harry-redknapp-de-jong-chelsea-transfer-barcelona-man-utd/
45,LEIP OF FAITH,Nottingham Forest contact RB Leipzig as they plot loan swoop for Angelino,https://www.thesun.co.uk/sport/19437466/nottingham-forest-rb-leipzig-angelino-premier-league/
46,JACK KO,Crystal Palace keeper Butland's transfer hopes dashed as star needs operation,https://www.thesun.co.uk/sport/19438612/crystal-palace-butland-transfer-operation-broken-wrist/
47,KAL OUT DUTY,Leeds target PSG's Arnaud Kalimuendo so Patrick Bamford has competition,https://www.thesun.co.uk/sport/19431011/leeds-arnaud-kalimuendo-transfer-psg-bamford/
48,BRING THE PARTY,Get 100% deposit bonus up to £400 & £40 FREE PLAY with Party Poker,https://www.thesun.co.uk/sport/betting-tips/19283142/party-poker-new-customer-offer-deposit-bonus/
49,RACING DEAL,Horse racing - FREE BETS: Get £30 bonus with Betfair today - 18+ T&Cs apply,https://www.thesun.co.uk/sport/horseracing/18796015/betfair-free-bets-horse-racing-betting-offers-uk-bonus/
50,BET BOOST,"Get £30 in FREE BETS on Chelsea, Liverpool or Spurs fixtures with William Hill",https://www.thesun.co.uk/sport/betting-tips/15950527/william-hill-free-bets-code-football-chelsea-tottenham-liverpool/
51,GUNNERS NEWS,"Moussa Diaby deal gets GREEN LIGHT, Tielemans boost as Aouar deal lined up",https://www.thesun.co.uk/sport/19404272/arsenal-transfer-news-live-moussa-diaby-tielemans-aouar/
52,CHELSEA LATEST,De Jong 'to leave Barcelona NEXT WEEK as Blues launch £59m-plus-Alonso bid',https://www.thesun.co.uk/sport/19207345/chelsea-transfer-news-live-frenkie-de-jong-fofana-marcos-alonso/
53,RED DEVILS LATEST,"Cristiano Ronaldo 'holds Galatasaray talks', Sesko dialogue ongoing",https://www.thesun.co.uk/sport/19259195/man-utd-transfer-news-live-cristiano-ronaldo-sesko-gakpo-antony/
54,WELL TONED,Topless Pulis takes summer break away from management in Caribbean with wife,https://www.thesun.co.uk/sport/football/19428781/topless-tony-pulis-wife-caribbean-break-football-management/
55,CRIS CROTCH,Ronaldo shows ripped physique in CR7 briefs with cryptic message amid quit saga,https://www.thesun.co.uk/sport/19331971/cristiano-ronaldo-ripped-physique-cr7-briefs/
56,PELLE OF THE BALL,Graziano Pelle’s stunning wife looks sensational in tiny bikini,https://www.thesun.co.uk/sport/football/19418053/southampton-graziano-pelle-wife-bikini/
