,titles,subtitles,links
0,HAAL TO PLAY FOR,Haaland ready to be a Prem ‘entertainer' after getting tips from Shearer,https://www.thesun.co.uk/sport/football/19423399/man-city-erling-haaland-alan-shearer/
1,FO FIGHTERS,Chelsea willing to meet Leicester's £85m Fofana price but will try lowball bid,https://www.thesun.co.uk/sport/football/19423345/chelsea-wesley-fofana-transfer-bid-leicester/
2,SAL OR NOTHING,Saliba to START vs Palace with £27m star to finally make debut after 3 years,https://www.thesun.co.uk/sport/football/19423339/arsenal-william-saliba-arsenal-debut-crystal-palace/
3,GONE CUCU,Cucurella ‘passes Chelsea medical and will sign contract ahead of £62m transfer’,https://www.thesun.co.uk/sport/football/19422526/chelsea-marc-cucurella-transfer-medical-brighton/
4,BIG DEAL,Crystal Palace vs Arsenal: Get 50/1 for a shot on target - Sky Bet 18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/19395512/sky-bet-offer-arsenal-crystal-palace-shot-target-football/
5,WINGING IT,I was upgraded to business class after being mistaken for England hero Kelly,https://www.thesun.co.uk/sport/19417571/tiktok-england-euro-2022-chloe-kelly/
6,MARK IRWIN,Only one winner in Ronaldo’s tussle with Man Utd and it won’t be Red Devils,https://www.thesun.co.uk/sport/football/19423083/man-utd-cristiano-ronaldo-transfer-exit-comment/
7,AZ TO STAY,Azpilicueta signs new TWO-YEAR Chelsea contract after snubbing Barcelona,https://www.thesun.co.uk/sport/football/19420856/cesar-azpilicueta-transfer-chelsea-barcelona/
8,TELL OFF,Man Utd outcast Telles sends Reds' fans message after sealing Sevilla loan,https://www.thesun.co.uk/sport/football/19416864/man-utd-alex-telles-sevilla-loan-transfer/
9,HAMMER MAX,West Ham complete Cornet transfer after activating relegation release clause,https://www.thesun.co.uk/sport/19420046/west-ham-complete-cornet-transfer-trigger-clause/
10,PIERS ON MAN UTD,"Bunch of overpaid, under-performing wastrels will have a terrible season",https://www.thesun.co.uk/sport/19408459/man-utd-overpaid-underperforming-piers-morgan/
11,PIERS ON CHELSEA,Tuchel will WALK AWAY from Chelsea this season over transfers frustrations,https://www.thesun.co.uk/sport/19408537/chelsea-thomas-tuchel-quit-piers-morgan/
12,PIERS ON RON,Ronaldo will make his Man Utd Great Escape - I don't blame him for wanting out,https://www.thesun.co.uk/sport/19408574/man-utd-cristiano-ronaldo-quit-piers-morgan/
13,ALL GUNS BLAZING,How Premier League clubs' summer spending compares with shock club bottom,https://www.thesun.co.uk/sport/football/19418008/premier-league-summer-spending-arsenal-leicester/
14,NEIL CUSTIS,Ten Hag would tear hair out if he had any as sagas dampen pre-season positivity,https://www.thesun.co.uk/sport/football/19422184/man-utd-erik-ten-hag-pre-season-assessment/
