,titles,subtitles,links
0,TAKING THE MIK,Inside Arteta’s US camp as Smith Rowe reveals bowling trash talk with boss,https://www.thesun.co.uk/sport/football/19255096/arsenal-mikel-arteta-pre-season-emile-smith-rowe/
1,PINCH A ZINCH,Zinchenko having Arsenal medical TODAY after jetting to Orlando for £32m move,https://www.thesun.co.uk/sport/football/19253247/oleksandr-zinchenko-arsenal-transfer-man-city-2/
2,NOT DJED KEEN,"Conte says Spurs picked £20m Spence, not him, as star faces battle for games",https://www.thesun.co.uk/sport/football/19254820/antonio-conte-djed-spence-tottenham-right-back/
3,HE'S NO SAINT,Newcastle order Saint-Maximin to 'stop parking Ferrari in awkward positions',https://www.thesun.co.uk/sport/19254627/newcastle-saint-maximin-stop-parking-ferrari-howe/
4,WINNER WINNER,Win a BMW M5 or £21k cash alternative from just 89p with Sun's discount code,https://www.thesun.co.uk/sport/betting-tips/18918779/win-bmw-m5-7days-performance/
5,LEW HYPOCRITES,Barca confirm £42.5m Lewandowski deal as Bayern launch STINGING attack,https://www.thesun.co.uk/sport/19254944/barcelona-confirm-robert-lewandowski-transfer-bayern-nagelsmann/
6,MATT'S IT,Bayern confirm £68million De Ligt transfer after Juve defender snubbed Chelsea,https://www.thesun.co.uk/sport/football/19254416/bayern-munich-matthijs-de-ligt-transfer-juventus-chelsea/
7,BRU BASHING,Fernandes fires jibe at wantaway Ronaldo suggesting Utd are BETTER without him,https://www.thesun.co.uk/sport/19253468/bruno-fernandes-jibe-cristiano-ronaldo-man-utd-better/
8,CHRIS CROSSED,Chelsea block Pulisic gun control question to after USMNT ace's Congress call,https://www.thesun.co.uk/sport/football/19255334/chelsea-block-gun-control-questions-christian-pulisics-usmnt/
9,TEKE TAKER,Wolves want Benteke in transfer swoop to bolster attack after loaning out Silva,https://www.thesun.co.uk/sport/football/19251109/christian-benteke-wolves-transfer-crystal-palace-exclusive/
