,titles,subtitles,links
0,JACK KICKS OFF,Grealish hits out at 'scum' who stole £60K trainers from cleaning service,https://www.thesun.co.uk/sport/19372460/jack-grealish-scum-stole-designer-trainers/
1,BRAWL APPEAL,Harry Maguire given date for hearing to try & clear himself over holiday brawl,https://www.thesun.co.uk/sport/19373752/harry-maguire-police-greece-brawl-holiday/
2,NO FLARE,Liverpool to be investigated after flares & smoke bombs are set off in City win,https://www.thesun.co.uk/sport/19374201/liverpool-investigated-flares-smoke-bombs-community-shield/
3,RON'S IN,Erik Ten Hag CONFIRMS Cristiano Ronaldo will feature in Rayo Vallecano friendly,https://www.thesun.co.uk/sport/19372397/erik-ten-hag-confirms-ronaldo-rayo-vallecano/
4,HAAL ON EARTH,Fans slate Erling Haaland horror show in Man City's Community Shield loss,https://www.thesun.co.uk/sport/19372869/fans-erling-haaland-man-city-community-shield/
5,FOUNTAIN OF YOUTH,Ronaldo gives update as he prepares to play for youth XI vs Vallecano,https://www.thesun.co.uk/sport/19371217/cristiano-ronaldo-training-update-man-utd-rayo-vallecano/
6,CRYSTAL CLEAR,Chelsea star Loftus-Cheek wanted by Palace AGAIN on second loan transfer,https://www.thesun.co.uk/sport/19373292/chelsea-loftus-cheek-crystal-palace-transfer/
7,ON GAARD,Fulham boss Marco Silva chasing Leicester defender Jannik Vestergaard transfer,https://www.thesun.co.uk/sport/19373455/fulham-jannik-vestergaard-transfer-leicester/
8,CHE YOU,Leeds lining up Saints striker Adams with Marsch wanting more options in attack,https://www.thesun.co.uk/sport/19374024/leeds-che-adams-transfer-southampton/
9,TEN NAG,Erik ten Hag slams ‘unacceptable’ Man Utd as Dutchman loses first match as boss,https://www.thesun.co.uk/sport/football/19372473/man-utd-ten-hag-furious-atletico-defeat/
10,GOOD NEWS,Dortmund give positive Sebastien Haller update after testicular cancer diagnosis,https://www.thesun.co.uk/sport/19372002/borussia-dortmund-sebastien-haller-testicular-tumour/
11,GUNNING FOR MORE,Arteta reveals Arsenal are planning MORE transfers after Jesus hat-trick,https://www.thesun.co.uk/sport/19371848/arteta-reveals-more-arsenal-transfers-incoming/
12,COACH BENNI,Ten Hag to add lifelong Man Utd fan McCarthy to coaching staff in shock move,https://www.thesun.co.uk/sport/19369933/man-utd-news-benni-mccarthy-coach/
13,SPURS 0 ROMA 1,Jose Mourinho gets revenge on Tottenham as Roger Ibanez scores only goal,https://www.thesun.co.uk/sport/football/19373593/tottenham-0-roma-1-mourinho-roger-ibanez/
14,BRAWL KICKING OFF,Watch Man Utd's McTominay spark furious row with Atletico Madrid stars,https://www.thesun.co.uk/sport/football/19370178/man-utd-scott-mctominay-atletico-madrid-jan-oblak/
