,titles,subtitles,links
0,UDINESE 1 CHELSEA 3,Sterling scores first goal as Kante opens pre-season account in win,https://www.thesun.co.uk/sport/19366852/chelsea-udinese-match-report-raheem-sterling/
1,'SUNDAY THE KING PLAYS',Ronaldo CONFIRMS he will play against Rayo Vallecano this weekend,https://www.thesun.co.uk/sport/19365881/cristiano-ronaldo-return-man-utd-sunday-rayo-vallecano/
2,ON THE BOX,Sky and BT confirm Prem TV games for October - including Liverpool vs Man City,https://www.thesun.co.uk/sport/19366837/premier-league-games-tv-october-man-utd-arsenal-chelsea/
3,COSTLY JULES,Barca CONFIRM Kounde deal as star signs 5-year contract with €1BILLION clause,https://www.thesun.co.uk/sport/football/19366222/jules-kounde-barcelona-transfer-done-sevilla/
4,BANK BOOST,Goodwood Festival: Get £40 in FREE BETS from Paddy Power,https://www.thesun.co.uk/sport/horseracing/19307364/horse-racing-offer-goodwood-festival-free-bets-paddy-power/
5,HUDDERSFIELD 0 BURNLEY 1,Maatsen seals win as Kompany brings Championship flair to Man City,https://www.thesun.co.uk/sport/football/19366172/huddersfield-vs-burnley-championship-report-maatsen/
6,TROY DEENEY,Championship more enjoyable and unpredictable than Prem and there's no s*** VAR,https://www.thesun.co.uk/sport/19365475/troy-deeney-column-championship-premier-league-var/
7,TIKKA BOW,Stockport celebrate Football League return with CURRY menu named after legends,https://www.thesun.co.uk/sport/19350208/stockport-efl-return-curry-menu/
8,ON YER DIKE,Daryl Dike desperate to graduate with West Brom to the Premier League,https://www.thesun.co.uk/sport/football/19350087/daryl-dike-west-brom-degree-graduation/
9,NEWCASTLE 1 ATALANTA 0,Wood penalty seals win but Toon prove why Howe needs new forwards,https://www.thesun.co.uk/sport/19366924/newcastle-1-atalanta-0-wood-howe-transfer/
10,HERO PAUL,Everton fan scores penalty in Kyiv win as he comes on to honour help for Ukraine,https://www.thesun.co.uk/sport/football/19367540/everton-fan-paul-stratton-scores-dynamo-kyiv/
11,PREM 'RAPIST',Premier League international no longer being investigated for 1 of 3 'rapes',https://www.thesun.co.uk/sport/19355842/premier-league-international-rape-probe/
12,MAN DOWN,Man City star Aymeric Laporte ruled out until September after having knee surgery,https://www.thesun.co.uk/sport/football/19362413/manchester-city-aymeric-laporte-injury/
13,LET THE DEST SETTLE,Man Utd and Chelsea blow as Dest stays at Barca after transfer splurge,https://www.thesun.co.uk/sport/19363991/man-utd-chelsea-dest-barcelona-transfer/
14,FRENK BLOW,"Man Utd target De Jong keen to STAY at Barca and snubbed £71m move, says Laporta",https://www.thesun.co.uk/sport/football/19363386/frenkie-de-jong-rejected-man-utd-transfer-barcelona/
15,COM TOGETHER,Liverpool and Man City combined XI ahead of Community Shield showdown,https://www.thesun.co.uk/sport/football/19359165/liverpool-man-city-team-community-shield-haaland-nunez/
16,RON MISSING,How Man Utd could line up against Atletico Madrid with Ronaldo to miss clash,https://www.thesun.co.uk/sport/19361013/man-utd-atletico-madrid-cristiano-ronaldo/
17,ZINCH IT,How Arsenal could line up against Sevilla with Jesus and Zinchenko starting,https://www.thesun.co.uk/sport/football/19360438/arsenal-sevilla-jesus-zinchenko-arteta-brentford/
18,REAL REUNION,Gareth Bale reunites with former Real Madrid team-mates in LA weeks after exit,https://www.thesun.co.uk/sport/19357444/watch-gareth-bale-hugs-real-madrid-team-mates-la/
19,MARC MY WORDS,Marc Cucurella hands in transfer request in bid to force through City move,https://www.thesun.co.uk/sport/19358149/marc-cucurella-man-city-transfer-request/
20,ARTHUR CHANCE,Arsenal third-choice keeper Okonkwo joins Crewe on loan & Leno may leave next,https://www.thesun.co.uk/sport/19365159/arthur-okonkwo-arsenal-joins-crew-loan-transfer/
21,NUNO ON BRINK,Arsenal ace Tavares arrives in Marseille for medical and season's loan move,https://www.thesun.co.uk/sport/19364389/nuno-tavares-marseille-loan-medical-arsenal-transfer/
22,ROD LEADS TO RENNES,Spurs leave Rodon at home for Israel trip as he finalises loan transfer,https://www.thesun.co.uk/sport/19362993/joe-rodon-transfer-rennes-tottenham/
23,CHEAP AND CHEERFUL,5 bargain Dream Team strikers who could score 15+ goals this season,https://www.thesun.co.uk/dream-team/fantasy-football/19344625/5-bargain-strikers-goals-fantasy-football-premier-league/
24,TIN HAT TIME,Is there more to Joao Cancelo's new squad number than meets the eye?,https://www.thesun.co.uk/dream-team/fantasy-football/19319637/joao-cancelo-manchester-city-fantasy-football-premier-league/
25,OVERSIGHT,Mohamed Salah only the third-most popular Dream Team player this season,https://www.thesun.co.uk/dream-team/fantasy-football/19310743/mohamed-salah-liverpool-fantasy-football-premier-league-ownership/
26,'IT'S INAPPROPRIATE',Saha gives his verdict on Ronaldo's ongoing Man Utd transfer saga,https://www.thesun.co.uk/sport/19361972/cristiano-ronaldo-transfer-louis-saha-verdict/
27,HERE COMES THE SON,Perkins completes Leeds free transfer following split from West Ham,https://www.thesun.co.uk/sport/19364273/sonny-perkins-completes-leeds-free-transfer-west-ham/
28,GEOR BLIMEY,Georgina back in chilly Manchester as Ronaldo thrashes out Man Utd future,https://www.thesun.co.uk/sport/football/19353512/georgina-rodriguez-cristiano-ronaldo-man-united-transfer-future/
29,LET'S GO SESKO,Man Utd 'meet Sesko's agent' as transfer talks for teenage striker intensify,https://www.thesun.co.uk/sport/football/19357694/manchester-united-sesko-transfer-salzburg/
30,PAV-E THE WAY,Benjamin Pavard willing to make Chelsea transfer as he is named on wishlist,https://www.thesun.co.uk/sport/19361059/benjamin-pavard-willing-chelsea-transfer-bayern-munich/
31,NEW TRAFFORD,Meticulous Ten Hag makes major change to Old Trafford to give Man Utd the edge,https://www.thesun.co.uk/sport/football/19360300/man-united-old-trafford-dugout-changes/
32,CORN ON THE TOON,Newcastle ready to trigger Cornet's £17.5m release clause in transfer race,https://www.thesun.co.uk/sport/19363222/newcastle-ready-trigger-transfer-clause-cornet/
33,ARD TRUTH,Xavi tells Gerard Pique ‘best solution is to leave’ Barcelona after Kounde deal,https://www.thesun.co.uk/sport/19358900/xavi-gerard-pique-barcelona-jules-kounde/
34,BLUE IT,Sevilla blame Blues for failed Kounde transfer after defender agreed to join club,https://www.thesun.co.uk/sport/football/19361172/kounde-sevilla-barcelona-chelsea/
35,THAT'S FAB,Man Utd 'make contact' with Fabian Ruiz's agent as they look to sign Napoli star,https://www.thesun.co.uk/sport/19362466/man-utd-contact-fabian-ruizs-agent-napoli-transfer/
