,titles,subtitles,links
0,PARTY TIME,England heroes belt out 'It's Coming Home’ and neck beers in dressing room disco,https://www.thesun.co.uk/sport/football/19380390/england-euro-celebrations-party-singing-dancing-beers/
1,'PERFECT',England fans love Chloe Kelly as she ditches BBC interview to sing Sweet Caroline,https://www.thesun.co.uk/sport/19379689/england-chloe-kelly-lionesses-bbc-interview-sweet-caroline/
2,GREAT SCOTT,Alex Scott breaks down in tears on live TV as she celebrates Euro 2022 win,https://www.thesun.co.uk/sport/football/19379908/england-euros-alex-scott-crying-twitter-reaction/
3,PIERS TO THAT,Jubilant Piers Morgan leads celebrations as fans go wild after Euros win,https://www.thesun.co.uk/sport/football/19379500/piers-morgan-england-fans-euro-2022/
4,LEAH'S PLEA,England captain vows to lap up Euros triumph and urges fans to go to WSL games,https://www.thesun.co.uk/sport/19380579/leah-williamson-england-womens-euros-2/
5,BRA-VO!,England hero Chloe Kelly swings top above her head as winner sends Wembley WILD,https://www.thesun.co.uk/sport/19379277/england-hero-chloe-kelly-celebrations-germany-winner/
6,ROYAL PRAISE,The Queen congratulates 'inspirational' Lionesses on historic Euro win,https://www.thesun.co.uk/sport/19379622/queen-congratulates-lionesses-england-euro-win/
7,'KELLY FOR PM',England fans all say the same thing after Chloe Kelly seals Euro 2022 crown,https://www.thesun.co.uk/sport/19379381/england-lioness-chloe-kelly-prime-minister/
8,PEEK SHOW,England ace Russo caught taking sneak peek at Germany tactics in Euro 2022 final,https://www.thesun.co.uk/sport/19379351/england-alessia-russo-germany-euro-2022/
9,GRAN MOMENT,Emotional Jill Scott dedicates England Lionesses' Euro 2022 crown to nan,https://www.thesun.co.uk/sport/19379750/jill-scott-england-germany-euro-2022/
10,RON WAY OUT,Ronaldo leaves Old Trafford BEFORE end of Vallecano draw after being subbed,https://www.thesun.co.uk/sport/football/19378599/man-utd-cristiano-ronaldo-leaves-old-trafford/
11,MAN UTD 1 RAYO VALLECANO 1,Ronaldo flops with Ten Hag winless in last THREE after hot start,https://www.thesun.co.uk/sport/19378181/man-utd-rayo-vallecano-cristiano-ronaldo-ten-hag/
12,RONBELIEVABLE,Fans all say the same thing as Ronaldo misses SITTER on return to Utd action,https://www.thesun.co.uk/sport/football/19378027/man-utd-cristiano-ronaldo-miss-rayo-vallecano/
13,ADRIAN CHILES,Women’s football in the UK will never be the same again thanks to Lionesses,https://www.thesun.co.uk/sport/19380330/football-changed-the-lionesses-euros-win/
