,titles,subtitles,links
0,THEATRE OF SCREAMS,Raging Man Utd fans FIGHT each other in stands in Ten Hag's first game,https://www.thesun.co.uk/sport/football/19444937/man-utd-fans-fight-video-old-trafford-brighton/
1,WAY TO GO,Alan Shearer trolls Manchester City star Erling Haaland after West Ham brace,https://www.thesun.co.uk/sport/19445051/alan-shearer-erling-haaland-manchester-city/
2,WEL I NEVER,'He'd strap a toilet to backside to play' - Welbeck downs Utd with stomach bug,https://www.thesun.co.uk/sport/19445302/graham-potter-danny-welbeck-manchester-united-brighton/
3,RON CALL,Ten Hag admits Man Utd 'are better' with Cristiano Ronaldo after Brighton loss,https://www.thesun.co.uk/sport/19444036/erik-ten-hag-manchester-united-cristiano-ronaldo-brighton/
4,ON YOUR MARKS,Man Utd in talks over SHOCK Marko Arnautovic move as Ten Hag gets desperate,https://www.thesun.co.uk/sport/19442313/man-utd-transfer-marko-arnautovic-bologna/
5,ING TROUBLE,Fans in hysterics as Haaland told off for swearing TWICE in live Sky interview,https://www.thesun.co.uk/sport/19444603/erling-haaland-sky-sports-manchester-city-west-ham/
6,HAAL OF FAME,Fans all say the same thing about ‘frightening’ Haaland on Man City Prem debut,https://www.thesun.co.uk/sport/19444067/fans-say-same-thing-haaland-debut/
7,HAMMERED HIM,Ederson suffers gruesome black eye seconds into clash at West Ham,https://www.thesun.co.uk/sport/football/19443856/ederson-black-eye-ruben-dias-man-city/
8,NICE START,Aaron Ramsey scores stunning debut goal for Nice just ONE MINUTE after coming on,https://www.thesun.co.uk/sport/football/19443684/aaron-ramsey-goal-nice-toulouse/
9,BIG BONUS,Get £40 in football FREE BETS plus an extra £10 casino bonus with BetVictor,https://www.thesun.co.uk/sport/betting-tips/19418064/betvictor-football-new-customer-free-bets-bonus-casino-spins/
10,ON THE MARCH,Angry Man Utd protesters march on Old Trafford carrying flares and banners,https://www.thesun.co.uk/sport/19442451/man-utd-protest-glazers-old-trafford-brighton/
11,MAN UTD VERDICT,Ten Hag NOT ready for life without Ronaldo as boss humbled in Prem debut,https://www.thesun.co.uk/sport/19443646/manchester-united-cristiano-ronaldo-brighton-erik-ten-hag/
12,MAN UTD RATINGS,"Fred suffers nightmare, Cristiano Ronaldo struggles on Erik ten Hag's debut",https://www.thesun.co.uk/sport/19443074/man-utd-ratings-fred-ronaldo-ten-hag/
13,THEATRE OF SCREAMS,Man Utd flops BOOED OFF at half time as Ten Hag suffers nightmare start,https://www.thesun.co.uk/sport/19442983/man-utd-booed-off-half-time/
14,'CRIMINAL',Scholes tears into Scott McTominay and Fred after Man Utd's Brighton nightmare,https://www.thesun.co.uk/sport/football/19443738/man-utd-brighton-fred-scott-mctominay-paul-scholes-criticism/
15,'ALWAYS RATED HIM..',Arsenal fans in disbelief as Tavares scores SCREAMER on Marseille loan,https://www.thesun.co.uk/sport/19445587/arsenal-nuno-tavares-marseille-ligue-1-folarin-balogun/
16,LEICESTER 2 BRENTFORD 2,Toney and Dasilva fire second half goals in Bees comeback,https://www.thesun.co.uk/sport/19406994/dasilva-header-completes-brentford-comeback-leicester/
17,TICKLED PINK,Fans say same thing as Ian Wright dons pink shirt in response to Alan Sugar,https://www.thesun.co.uk/sport/19441085/ian-wright-pink-shirt-alan-sugar-arsenal-kit/
18,'WORST POSSIBLE START',Harry Maguire admits it's 'not good enough' after defeat to Brighton,https://www.thesun.co.uk/sport/19443790/maguire-blasts-man-united-brighton-performance/
19,"RED, SET, GO",Liverpool plot swap deal involving Firmino or Keita for Inter star Brozovic,https://www.thesun.co.uk/sport/19444181/liverpool-roberto-firmino-naby-keita-inter-marcelo-brozovic/
20,WHO ATE ALL THE PIES?,Poll reveals Premier League's fattest fans - are they from your club?,https://www.thesun.co.uk/sport/19444126/poll-premier-league-fattest-fans/
21,SWAN SANG,Man Utd and West Ham suffer more transfer woe as Ibrahim Sangare snubs move,https://www.thesun.co.uk/sport/19444846/manchester-united-west-ham-ibrahim-sangare-psv-eindhoven/
