,titles,subtitles,links
0,MAR-QUEE SIGNING,Man Utd confirm £55m Lisandro Martinez transfer as Ten Hag raids old club,https://www.thesun.co.uk/sport/football/19228087/man-utd-confirm-lisandro-martinez-transfer/
1,RON TURN,Ronaldo finally breaks silence on transfer future as his car 'spotted at Sporting',https://www.thesun.co.uk/sport/19231103/cristiano-ronaldo-manchester-united-sporting-lisbon/
2,ON YOUR MARCS,Man City step up Cucurella hunt as replacement for Arsenal-bound Zinchenko,https://www.thesun.co.uk/sport/19230375/manchester-city-marc-cucurella-arsenal-oleksandr-zinchenko-brighton/
3,EAGLES SHOCK,New £22m Palace star Doucoure in blackmail scandal over 'double identify',https://www.thesun.co.uk/sport/football/19230394/crystal-palace-cheick-doucoure-blackmail/
4,FLOODS OF TEARS,EFL clubs facing financial chaos with floodlight costs DOUBLING to £100k,https://www.thesun.co.uk/sport/football/19229446/efl-crisis-floodlights-costs-doubling/
5,BLUE WHAT?,Watch Sancho's sheepish reaction when asked who Man Utd's biggest rivals are,https://www.thesun.co.uk/sport/19226924/sancho-names-uniteds-biggest-rivals-city/
6,DON'T LUK BACK IN ANGER,Lukaku says he made a 'mistake' quitting Inter for Chelsea,https://www.thesun.co.uk/sport/football/19229011/lukaku-chelsea-inter-milan-transfer-loan/
7,LEAVING IT LATE,Man Utd 'willing to wait until last DAY of window to seal De Jong deal',https://www.thesun.co.uk/sport/football/19227786/man-utd-transfer-frenkie-de-jong-2/
8,TORR BLIMEY,Man Utd transfer gurus wanted Pau Torres but Ten Hag told them to sign Martinez,https://www.thesun.co.uk/sport/football/19229538/man-utd-transfer-torres-martinez-ten-hag/
9,KOU COUP,Chelsea 'closing in on Jules Kounde transfer despite Barcelona making £51m bid',https://www.thesun.co.uk/sport/football/19228667/chelsea-barcelona-transfer-jules-kounde/
10,WHAT A SHOT,Watch FC Koln goal as if you were on the pitch from incredible bodycam footage,https://www.thesun.co.uk/sport/football/19227219/fc-koln-goal-milan-bodycam/
