,titles,subtitles,links
0,LIONESS RAIDERS,Burglars target family of a Lionesses star while they were at semi-final,https://www.thesun.co.uk/sport/19340672/burglars-target-family-lionesses-star/
1,GEORDIE POOR,Newcastle take out £140m LOAN despite being world's richest club with £492bn,https://www.thesun.co.uk/sport/football/19340986/newcastle-loan-richest-club-cash/
2,CHAIN REACTION,Jens Lehmann 'took CHAINSAW to neighbour's garage' after row over lake view,https://www.thesun.co.uk/sport/football/19339070/jens-lehmann-chainsaw-arsenal-lake/
3,CR7 NOT WELCOME,Atletico Madrid fans reveal ANTI-Ronaldo banner at pre-season game,https://www.thesun.co.uk/sport/football/19339429/atletico-madrid-fans-banner-ronaldo-not-welcome/
4,GLORIOUS,Best sign up deals and free bets for the horse racing at the Goodwood Festival,https://www.thesun.co.uk/sport/horseracing/19319431/goodwood-festival-betting-offers-free-bets/
5,POPP STAR,England to face Germany in Euro 2022 final after captain Popp scores twice,https://www.thesun.co.uk/sport/19341041/england-vs-germany-euro-2022-final-france-popp/
6,A GREAL BATTLE,Jack Grealish admits struggles to adapt to life at Man City last season,https://www.thesun.co.uk/sport/football/19339079/grealish-man-city-difficult-pep/
7,TY-MES UP,Gerrard STRIPS Mings of Aston Villa captaincy and names McGinn as new skipper,https://www.thesun.co.uk/sport/19338709/tyrone-mings-villa-captain-john-mcginn-steven-gerrard/
8,DWIGHT'S ALRIGHT,Everton set to sign Dwight McNeil for £20m after winger completes medical,https://www.thesun.co.uk/sport/football/19340336/everton-dwight-mcneil-burnley-medical/
9,GONNA KOST YA,West Ham have £12.5m Kostic rejected with Eintracht Frankfurt wanting £16m,https://www.thesun.co.uk/sport/19339404/west-ham-transfer-filip-kostic-bid-rejected/
10,TOR BLIMEY,Watch as Torino manager Juric and sporting director filmed FIGHTING in car park,https://www.thesun.co.uk/sport/football/19341305/torino-ivan-juric-davide-vagnati-fighting/
11,RICH PICKINGS,Crystal Palace confirm £11m signing of Chris Richards from Bayern Munich,https://www.thesun.co.uk/sport/football/19340264/crystal-palace-chris-richards-bayern/
12,RON THE SIDELINE,Ronaldo watches Man Utd play Wrexham in pre-season friendly at Carrington,https://www.thesun.co.uk/sport/19336951/cristiano-ronaldo-watches-man-utd-wrexham-friendly/
13,LET IT GO,Atletico fans release statement slamming Ronaldo and say they don't want him,https://www.thesun.co.uk/sport/football/19335164/man-utd-cristiano-ronaldo-atletico-madrid-fans-statement/
14,SEALED WITH A CHRIS,Eriksen scores in first game for Man Utd after completing free transfer,https://www.thesun.co.uk/sport/football/19336756/christian-eriksen-first-game-man-utd-transfer/
15,RB SALZBURG 1 LIVERPOOL 0,Reds beaten after Man Utd target puts on impressive display,https://www.thesun.co.uk/sport/football/19340600/red-bull-salzburg-liverpool-sesko/
16,ONE TO WATCH,Man Utd trolled as Salzburg say they want £1BN for Sesko after Liverpool goal,https://www.thesun.co.uk/sport/19340285/benjamin-sesko-goal-skill-liverpool-man-utd-trolled/
17,NKET IN THERE,Arsenal lose for first time in pre-season but Eddie Nketiah scores vs Bees,https://www.thesun.co.uk/sport/football/19337534/arsenal-brentford-eddie-nketiah-pre-season/
18,DANCING WITH JOY,"Adorable England fan, 8, who went viral with dancing given final tickets",https://www.thesun.co.uk/sport/football/19336512/england-fan-dancing-euro-2022-semi-final/
19,HEART ON HIS SLEEVE,Arteta lifts lid on undergoing heart surgery as kid during team talk,https://www.thesun.co.uk/sport/football/19338402/mikel-arteta-heart-surgery-arsenal/
20,DOPING BUST,Atalanta defender 'suspended after failing drugs test during pre-season tour',https://www.thesun.co.uk/sport/19338974/jose-luis-palomino-suspended-failed-drugs-test-atalanta/
21,BLANK PAGE,Bale alarmed Wales haven't sorted Page's deal despite World Cup heroics,https://www.thesun.co.uk/sport/19313305/gareth-bale-wales-fear-rob-page-contract-world-cup/
22,ALL GONE RON,Cristiano Ronaldo 'tells Man Utd let me leave' as talks reach standstill,https://www.thesun.co.uk/sport/football/19339761/cristiano-ronaldo-man-utd-transfer-4/
23,TIN HAT TIME,Is there more to Joao Cancelo's new squad number than meets the eye?,https://www.thesun.co.uk/dream-team/fantasy-football/19319637/joao-cancelo-manchester-city-fantasy-football-premier-league/
24,OVERSIGHT,Mohamed Salah only the third-most popular Dream Team player this season,https://www.thesun.co.uk/dream-team/fantasy-football/19310743/mohamed-salah-liverpool-fantasy-football-premier-league-ownership/
25,ON POINT,"Lee Sharpe picks his Dream Team - take him on and compete for share of £100,000!",https://www.thesun.co.uk/dream-team/fantasy-football/19308852/lee-sharpe-picks-his-dream-team-new-season/
26,MAR-QUEE SIGNING,'A lot of work' - Martinez admits big task ahead as Man Utd confirm deal,https://www.thesun.co.uk/sport/19335785/lisandro-martinez-man-utd-transfer-ten-hag/
27,'TODAY'S OFFICE',Ramsey following Bale's transfer lead after terminating Juventus contract,https://www.thesun.co.uk/sport/19335175/aaron-ramsey-gareth-bale-transfer-lead-wales/
28,HAMMER TIME,"How West Ham could line up next season with Scamacca, Kostic and Zielinski",https://www.thesun.co.uk/sport/19336421/west-ham-line-up-gianluca-scamacca-filip-kostic/
29,GOT HIM VIN,Everton complete Ruben Vinagre loan from Sporting after five years with Wolves,https://www.thesun.co.uk/sport/19333812/everton-complete-ruben-vinagre-loan-transfer/
30,PAIR UP,Arsenal insert sell-on fees for Omari Hutchinson and Matteo Guendouzi,https://www.thesun.co.uk/sport/19338688/arsenal-transfer-news-omari-hutchinson-matteo-guendouzi/
31,FEELING BLUE,Chelsea beaten in Kounde transfer race by Barcelona in £46m-plus deal,https://www.thesun.co.uk/sport/football/19336487/chelsea-kounde-transfer-barcelona-azpilicueta/
