,titles,subtitles,links
0,JESS DO IT,Forest SMASH wage structure to get Lingard on massive £150K A WEEK in shock deal,https://www.thesun.co.uk/sport/football/19278248/lingard-free-transfer-nottingham-forest-man-utd/
1,TRUE BLUE?,Chelsea's Kounde deal in doubt as defender arrives UNANNOUNCED on Sevilla's tour,https://www.thesun.co.uk/sport/football/19278352/jules-kounde-chelsea-sevilla-pre-season-tour/
2,THE SPECIAL RON,"NOBODY at Man Utd thinks we're better without Ronaldo, says Varane",https://www.thesun.co.uk/sport/football/19278864/cristiano-ronaldo-varane-man-united/
3,AMERICAN DREAM,Ex-Man Utd star Morrison follows Rooney to DC United after sealing MLS move,https://www.thesun.co.uk/sport/football/19277365/man-utd-ravel-morrison-wayne-rooney-dc-united-transfer/
4,VOR-4-2,Countdown's on to football season - take on Carol Vorderman in Dream Team,https://www.thesun.co.uk/dream-team/19260839/join-dream-team-carol-vorderman-2022-23/
5,SUPER SUNDAY LUNCH,Sterling can't wait to bang in Chelsea goals… then have dinner at mum's,https://www.thesun.co.uk/sport/football/19278952/chelsea-goals-raheem-sterling-transfer-man-city/
6,ZETTE UPON,Ex-Arsenal star Lacazette to miss Lyon game after he was 'attacked by WASPS',https://www.thesun.co.uk/sport/football/19278062/arsenal-alex-lacazette-lyon-attacked-wasps/
7,CASE FOR THE DEFENCE,Varane hails 'very important' Harry Maguire after pre-season boos,https://www.thesun.co.uk/sport/football/19279427/harry-maguire-varane-man-united/
8,PIERS PICKS,"Piers Morgan reveals his Dream Team - take him on and compete for £100,000!",https://www.thesun.co.uk/dream-team/fantasy-football/19257818/piers-morgans-dream-team-haaland-jesus/
9,GERMAN LEGEND,Tributes pour in for West Germany legend Seeler who scored in World Cup final,https://www.thesun.co.uk/sport/football/19277021/uwe-seeler-dead-west-germany-1966-world-cup-final/
10,HOT RED FORM,Watch Nunez show why Liverpool spent £85m on him as he hits FOUR off bench,https://www.thesun.co.uk/sport/football/19278720/darwin-nunez-liverpool-rb-leipzig/
11,HAALF PRICE ERL,Haaland not feeling pressure of move... as he cost HALF as much as Grealish,https://www.thesun.co.uk/sport/football/19280069/haaland-man-city-transfer-grealish/
12,FAB NEWS,Arsenal boost with Fabio Vieira back in first-team training after early injury,https://www.thesun.co.uk/sport/19274055/arsenal-boost-fabio-vieira-back-training/
13,EDDING FOR GLORY,Nketiah shares how close he came to moving and says he CAN play with Jesus,https://www.thesun.co.uk/sport/19279564/nketiah-arsenal-arteta-gabriel-jesus/
14,MAKING HIS MARC,Man Utd hero Marcus Rashford launches inspiring new book You Can Do It,https://www.thesun.co.uk/sport/football/19274085/man-utd-marcus-rashford-book/
15,HALL GOOD,Haller's thumbs up from hospital bed after first treatment for testicular cancer,https://www.thesun.co.uk/sport/19278542/sebastien-haller-dortmund-testicular-cancer/
16,RIO CARNIVAL,Man Utd legend Ferdinand reveals boozy West Ham pre-season tour as youngster,https://www.thesun.co.uk/sport/19277261/man-utd-ferdinand-boozy-west-ham-pre-season-tour/
17,NUMBER HWANG,Bordeaux forward Hwang Ui-Jo claims he has transfer offer to join West Ham,https://www.thesun.co.uk/sport/football/19277369/west-ham-hwang-ui-jo-transfer-chelsea-armando-broja/
18,FRONTING UP,Clothing brand promoted by Neymar and Luis Suarez is 'front for drug business',https://www.thesun.co.uk/sport/football/19274977/neymar-luis-suarez-mybrand-clothing-owner-arrested-drug-trafficking/
19,TUCH FOR THOM,Chelsea's owners agree £800M debt package with £300m of it to rebuild squad,https://www.thesun.co.uk/sport/19273825/chelsea-owners-huge-debt-transfer-rebuild-todd-boehly/
